Title,# Views,# Rates,Average Score,Douban Link
女孩 ,12,11,7.090909090909091,https://movie.douban.com/subject/30194769/
刺心 ,13,12,7.5,https://movie.douban.com/subject/26683287/
江湖儿女,19,18,6.777777777777778,https://movie.douban.com/subject/26972258/
晚春 ,19,16,8.625,https://movie.douban.com/subject/1307265/
冷战 ,18,17,6.470588235294118,https://movie.douban.com/subject/26894602/
谋杀绿脚趾 ,21,18,7.888888888888889,https://movie.douban.com/subject/1300044/
毒战 ,15,14,8.285714285714286,https://movie.douban.com/subject/10344754/
双旗镇刀客,11,9,7.777777777777778,https://movie.douban.com/subject/1307812/
黑炮事件,10,8,8.25,https://movie.douban.com/subject/1434269/
万家灯火,7,6,8.0,https://movie.douban.com/subject/1419052/
油脂 ,9,7,7.714285714285714,https://movie.douban.com/subject/1300993/
意大利式离婚 ,9,7,7.714285714285714,https://movie.douban.com/subject/1303186/
歌厅 ,16,15,8.666666666666666,https://movie.douban.com/subject/1296282/
我这一辈子,11,8,9.0,https://movie.douban.com/subject/1422020/
猎鹿人 ,21,19,7.894736842105263,https://movie.douban.com/subject/1292403/
组织者 ,4,2,7.0,https://movie.douban.com/subject/2135922/
间奏曲 ,13,9,7.777777777777778,https://movie.douban.com/subject/1401892/
罗西塔 ,2,2,8.0,https://movie.douban.com/subject/1300254/
火树银花 ,7,5,8.4,https://movie.douban.com/subject/1295445/
假凤虚凰,4,4,7.0,https://movie.douban.com/subject/3070653/
一见钟情 ,2,1,8.0,https://movie.douban.com/subject/3884080/
铁扇公主,10,8,8.25,https://movie.douban.com/subject/1466022/
伯爵夫人的耳环 ,13,11,8.727272727272727,https://movie.douban.com/subject/1301122/
遗传厄运 ,16,15,6.666666666666667,https://movie.douban.com/subject/27621727/
一部关于我过去22年生活的私人电影,3,2,8.0,https://movie.douban.com/subject/30234288/
绿洲 ,18,17,7.529411764705882,https://movie.douban.com/subject/1299582/
潘神的迷宫 ,26,23,7.391304347826087,https://movie.douban.com/subject/1767042/
扒手 ,21,19,8.947368421052632,https://movie.douban.com/subject/1303559/
极恶非道3 ,9,9,7.333333333333333,https://movie.douban.com/subject/26862893/
极恶非道2 ,13,12,7.5,https://movie.douban.com/subject/5286821/
兽爪 ,5,5,8.8,https://movie.douban.com/subject/1950888/
Jose与虎与鱼们 ,6,6,6.666666666666667,https://movie.douban.com/subject/1428291/
盗马贼,8,7,7.714285714285714,https://movie.douban.com/subject/1305085/
头号玩家 ,25,24,7.75,https://movie.douban.com/subject/4920389/
异邦人：无皇刃谭 ,4,2,9.0,https://movie.douban.com/subject/2277204/
天堂的孩子 ,14,10,9.2,https://movie.douban.com/subject/1300375/
了不起的狐狸爸爸 ,22,20,8.6,https://movie.douban.com/subject/1759386/
水中生活 ,15,13,7.076923076923077,https://movie.douban.com/subject/1308976/
天才一族 ,20,17,7.529411764705882,https://movie.douban.com/subject/1306031/
波特兰迪亚 第二季 ,1,1,8.0,https://movie.douban.com/subject/6985664/
Camberwick Green Season 1,1,1,8.0,https://movie.douban.com/subject/30170802/
辛普森一家  第一季 ,1,1,8.0,https://movie.douban.com/subject/1418197/
手掌 ,4,3,7.333333333333333,https://movie.douban.com/subject/1460853/
Professor Balthazar,1,1,8.0,https://movie.douban.com/subject/5179444/
地球之盐 ,11,9,8.0,https://movie.douban.com/subject/10741871/
大佛普拉斯,18,17,7.764705882352941,https://movie.douban.com/subject/27059130/
朽木 第一季 ,1,1,8.0,https://movie.douban.com/subject/1395440/
巴黎浮世绘 ,14,12,7.666666666666667,https://movie.douban.com/subject/1296949/
5台破相机 ,2,2,7.0,https://movie.douban.com/subject/10432362/
荒野大镖客 ,18,15,7.6,https://movie.douban.com/subject/1302522/
天使爱美丽 ,28,25,8.32,https://movie.douban.com/subject/1292215/
这样或那样 ,2,1,8.0,https://movie.douban.com/subject/1902590/
华盛顿邮报 ,18,16,7.625,https://movie.douban.com/subject/26990609/
魅影缝匠 ,20,18,7.888888888888889,https://movie.douban.com/subject/26809592/
风吹麦浪 ,13,13,7.6923076923076925,https://movie.douban.com/subject/1780122/
安娜的情欲 ,6,6,8.666666666666666,https://movie.douban.com/subject/1292853/
寻梦环游记 ,22,18,7.555555555555555,https://movie.douban.com/subject/20495023/
金刚 ,15,14,7.571428571428571,https://movie.douban.com/subject/1298593/
一日情人 ,13,12,8.333333333333334,https://movie.douban.com/subject/26759825/
在哥伦布 ,9,7,6.0,https://movie.douban.com/subject/26929038/
脸庞，村庄 ,20,18,8.666666666666666,https://movie.douban.com/subject/26764928/
双峰：遗失的碎片 ,4,4,7.5,https://movie.douban.com/subject/26712750/
双峰：与火同行 ,13,11,8.545454545454545,https://movie.douban.com/subject/1303472/
咖啡时光 ,13,11,8.727272727272727,https://movie.douban.com/subject/1310166/
